,Ticker,Year,Unnamed: 0,index,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred,Weak Modal_Pred,Strong Modal_Pred
55,BRPT,2020,5515675,7610862,0.5116279069767442,0.18604651162790697,0.23255813953488372,0.0,0.0,0.0,0.06976744186046512,10.0,1.0
56,BRPT,2021,6153198,8489916,0.4946236559139785,0.06451612903225806,0.23655913978494625,0.0,0.0,0.0,0.20430107526881722,14.0,5.0
57,BRPT,2022,7035054,9707031,0.4074074074074074,0.16666666666666666,0.3148148148148148,0.0,0.0,0.0,0.1111111111111111,19.0,9.0
58,BRPT,2023,7263573,10022396,0.5461538461538461,0.13846153846153847,0.2153846153846154,0.0,0.0,0.0,0.1,19.0,12.0
59,CPIN,2019,5696712,7861014,0.4393939393939394,0.22727272727272727,0.24242424242424243,0.0,0.0,0.0,0.09090909090909091,9.0,6.0
60,CPIN,2020,5836250,8054319,0.44155844155844154,0.1038961038961039,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,10.0,8.0
61,CPIN,2021,6935488,9571629,0.3780487804878049,0.17073170731707318,0.21951219512195122,0.0,0.0,0.0,0.23170731707317074,12.0,9.0
62,CPIN,2022,5555055,7666029,0.46875,0.21875,0.1875,0.0,0.0,0.0,0.125,9.0,5.0
63,CPIN,2023,6046260,8343626,0.4714285714285714,0.15714285714285714,0.21428571428571427,0.0,0.0,0.0,0.15714285714285714,9.0,9.0
64,GOTO,2021,17116010,23592703,0.5034965034965035,0.11538461538461539,0.25524475524475526,0.0034965034965034965,0.0,0.0,0.12237762237762238,46.0,15.0
65,GOTO,2022,18030519,24868092,0.5691823899371069,0.07232704402515723,0.19811320754716982,0.006289308176100629,0.0,0.0,0.1540880503144654,47.0,25.0
66,GOTO,2023,13989481,19300469,0.44404332129963897,0.09747292418772563,0.22743682310469315,0.0036101083032490976,0.0,0.0,0.22743682310469315,59.0,30.0
67,ICBP,2019,4807506,6625129,0.4918032786885246,0.04918032786885246,0.21311475409836064,0.0,0.0,0.0,0.2459016393442623,10.0,5.0
68,ICBP,2020,5320167,7331417,0.37333333333333335,0.10666666666666667,0.26666666666666666,0.0,0.0,0.0,0.25333333333333335,7.0,5.0
69,ICBP,2021,4477547,6169906,0.4838709677419355,0.06451612903225806,0.24193548387096775,0.0,0.0,0.0,0.20967741935483872,8.0,4.0
70,ICBP,2022,4158520,5730355,0.45614035087719296,0.14035087719298245,0.22807017543859648,0.0,0.0,0.0,0.17543859649122806,8.0,3.0
71,ICBP,2023,3425961,4720882,0.6296296296296297,0.1111111111111111,0.14814814814814814,0.0,0.0,0.0,0.1111111111111111,4.0,2.0
72,INCO,2019,15290499,21134607,0.3698630136986301,0.1141552511415525,0.3105022831050228,0.0,0.0,0.0,0.2054794520547945,40.0,14.0
73,INCO,2020,11929725,16470809,0.36416184971098264,0.14450867052023122,0.2947976878612717,0.005780346820809248,0.0,0.0,0.1907514450867052,28.0,20.0
